learning_rate,epoch,embedding_dim,batch_size,training_loss,held_out_loss,model_out_size,out_hat_size
0.1,0,10,50,NA,8.03454875946045,,
0.1,1,10,50,3.812304346856465,3.543837308883667,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,2,10,50,3.2892378676296476,3.5245208740234375,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,3,10,50,3.200147675829986,3.477360486984253,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,4,10,50,3.1629644540640025,3.4962663650512695,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,5,10,50,3.1346943346553022,3.489522933959961,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,6,10,50,3.1093511589394764,3.4948878288269043,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,7,10,50,3.113251015494101,3.5394296646118164,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,8,10,50,3.105498227786061,3.53532338142395,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,9,10,50,3.0977669129004846,3.5575058460235596,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,10,10,50,3.1192991805315815,3.6329245567321777,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,11,10,50,3.1253049596894944,3.587322950363159,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,12,10,50,3.1027777410271176,3.618399143218994,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,13,10,50,3.092961289810895,3.602876663208008,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,14,10,50,3.104823977652202,3.6270344257354736,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,15,10,50,3.1000846492805607,3.6235835552215576,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,16,10,50,3.1011695542861784,3.6458864212036133,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,17,10,50,3.1115643228575536,3.6559767723083496,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,18,10,50,3.1156836122174725,3.646385431289673,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,19,10,50,3.1171033199016867,3.6649463176727295,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,20,10,50,3.118296364079351,3.661386251449585,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,21,10,50,3.119020698062552,3.678541421890259,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,22,10,50,3.120572089351539,3.663323163986206,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,23,10,50,3.1218151336529583,3.686397075653076,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,24,10,50,3.121800399544247,3.6872060298919678,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,25,10,50,3.132144981403415,3.683650493621826,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,26,10,50,3.123701114718332,3.71779203414917,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,27,10,50,3.113557190400701,3.6916091442108154,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,28,10,50,3.123167872030201,3.710745096206665,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,29,10,50,3.1169134836930494,3.7042531967163086,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,30,10,50,3.139594727934005,3.7853667736053467,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,31,10,50,3.1849092273010458,3.758530855178833,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,32,10,50,3.184689402181568,3.798658847808838,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,33,10,50,3.1749171110299916,3.744483709335327,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,34,10,50,3.153418045777541,3.7847228050231934,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,35,10,50,3.1501204919655588,3.7728090286254883,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,36,10,50,3.1440381613064767,3.8095431327819824,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,37,10,50,3.175318484322283,3.9051132202148438,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,38,10,50,3.2197064556007002,3.857365131378174,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,39,10,50,3.1890291418120214,3.8256561756134033,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,40,10,50,3.298944183815283,3.8592841625213623,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
0.1,41,10,50,3.251945724455409,3.850975513458252,"torch.Size([26, 22, 128])","torch.Size([26, 22, 3082])"
